k_u,k_v,cosine
7,16,0.03874544191805402
4,13,0.12162650373359762
4,914,0.0340618926896125
5,98,0.03430138956931282
8,98,0.05975521761998761
49,98,0.08455006870965652
2,23,0.09445890713990181
11,13,0.20726469253903776
8,10,0.02693800684455614
10,21,0.021515819966761086
4,55,0.13964987406160217
3,1302,0.1378821897135835
3,8,0.0751804785800148
14,78,0.013861222359666494
3,8,0.011284308476586503
5,74,0.03739081083250831
2,97,0.07548379904879869
9,139,0.06518098741960265
5,966,0.09747592645709048
69,573,0.19251235537391448
10,573,0.1300522838795225
40,573,0.02509118918746265
23,97,0.13315009512517317
2,52,0.04284973057667757
7,19,0.06159166699933706
8,46,0.1399128823955174
147,999,0.035269974061568496
29,999,0.06293196124918542
3,4,0.16816663147063776
39,929,0.04711707655777811
39,929,0.0997243059050763
2,929,0.1143061412587194
3,929,0.13656178020603105
6,41,0.07537626701697428
4,22,0.07770831875060306
19,154,0.13038172221825317
26,35,0.1354355651520944
8,26,0.10556982386808864
41,1092,0.03249529007860482
8,23,0.13508850415871754
4,56,0.09117296266867234
22,56,0.1392435225864258
28,56,0.2260085905270071
5,8,0.11381191551488357
7,71,0.1574546729703411
3,71,0.0853957522005184
10,10,0.04633156537650044
10,132,0.1965398972179072
3,36,0.14659270620932258
2,22,0.059884992001173296
2,19,0.0347170867517818
22,26,0.27607697187317937
25,34,0.05167705619320611
37,242,0.09424021797003021
37,2245,0.059736997710791356
12,37,0.07320178443836267
5,667,0.10849323612193647
26,1397,0.0303711108987847
4,4,0.0095680221079005
2,6,0.09811978124250166
24,31,0.1191506809737631
13,22,0.11915773655127769
9,22,0.10251491246515879
5,106,0.06450675308569129
65,106,0.10304837977962039
3,69,0.25770985404197283
4,68,0.22772291601113293
3,751,0.03888867808349426
50,7954,0.17501390122109345
3,7954,0.10226187312520546
5,7954,0.13981490188681958
46,7954,0.14493474558157174
3,7954,0.10186520528785088
7,7954,0.24212513227552687
4,9,0.18837544223305286
17,12942,0.06029989893728947
3,4,0.04725172763038174
4,20,0.020514179137437315
2,11,0.029790088738633983
